Part;Value;Device;Package;Description;MF;MPN;OC_FARNELL;OC_NEWARK;PROD_ID;VALUE;
"12V";"";"3,81/1,4";"3,81/1,4";"THROUGH-HOLE PAD";"";"";"";"";"";"";
"C1";"";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";
"C2";"";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";
"C3";"100nF";"CAPPTH2";"CAP-PTH-SMALL2";"Capacitor";"";"";"";"";"";"";
"C4";"100nF";"CAPPTH2";"CAP-PTH-SMALL2";"Capacitor";"";"";"";"";"";"";
"DIODE1";"DIODE-ZENERPTH";"DIODE-ZENERPTH";"DIODE-ZENER";"Zener Diode";"";"";"";"";"";"";
"DIODE2";"DIODE-ZENERPTH";"DIODE-ZENERPTH";"DIODE-ZENER";"Zener Diode";"";"";"";"";"";"";
"DIODE3";"DIODE-ZENERPTH";"DIODE-ZENERPTH";"DIODE-ZENER";"Zener Diode";"";"";"";"";"";"";
"DIODE4";"DIODE-ZENERPTH";"DIODE-ZENERPTH";"DIODE-ZENER";"Zener Diode";"";"";"";"";"";"";
"GND";"";"3,81/1,4";"3,81/1,4";"THROUGH-HOLE PAD";"";"";"";"";"";"";
"IC1";"7805L";"7805L";"TO92";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";
"IC2";"L298";"L298";"MULTIWATT-15";"DUAL FULL-BRIDGE DRIVER";"";"L298N";"1589425";"32M1527";"";"";
"IN";"";"1,6/0,9";"1,6/0,9";"THROUGH-HOLE PAD";"";"";"";"";"";"";
"MOTOR+";"";"3,81/1,4";"3,81/1,4";"THROUGH-HOLE PAD";"";"";"";"";"";"";
"MOTOR-";"";"3,81/1,4";"3,81/1,4";"THROUGH-HOLE PAD";"";"";"";"";"";"";
"PRG";"AVRISP-6";"AVRISP-6";"AVRISP";"AVR ISP HEADER";"";"";"";"";"";"";
"R1";"";"RESISTORPTH-1/4W";"AXIAL-0.4";"Resistor";"";"";"";"";"";"";
"TINY85";"TINY85";"ATTINY45TINY85-20-DIP";"DIP08";"Atmel 8-pin 2/4/8kB flash uC";"";"";"";"";"IC-09445";"TINY85-20-DIP";
